,Polling Firm,Commissioner,Date,Sample Size,Coalition of the Left,New Democracy,People’s Association / Golden Dawn,Movement for Change,Communist Party of Greece,The River,Independent Greeks,Union of Centrists,Popular Unity,Course of Freedom,Greek Solution,European Realistic Disobedience Front,Others
1,Interview,Politic.gr,2023-01-16,1675,28.4,36.0,,11.2,6.7,,,,,,5.0,3.9,
2,Opinion Poll,The TOC,2023-01-13,1005,29.3,38.6,,11.8,5.3,,,,,,4.7,3.2,
3,Alco,Alpha TV,2023-01-13,1002,27.8,35.8,,12.4,6.4,,,,,,5.1,3.8,
4,Marc,Πρώτο ΘΕΜΑ,2022-12-21,1003,28.0,37.0,,11.6,6.4,,,,,,4.6,3.4,
5,Pulse RC,ΣΚΑΪ,2022-12-19,1103,29.3,37.9,,11.5,5.2,,,,,,4.0,3.4,
6,Interview,Politic.gr,2022-12-19,1655,27.1,36.7,,11.3,5.6,,,,,,5.3,3.4,
7,GPO,Powergame.gr,2022-12-15,1000,29.5,36.8,,11.5,7.2,,,,,,4.5,2.7,
8,MRB,,2022-12-09,2000,27.2,33.5,,13.3,6.0,,,,,,5.3,3.4,
9,Opinion Poll,Lykavitos,2022-12-02,1251,28.7,38.1,,13.3,5.3,,,,,,4.6,2.7,
10,RASS,Action 24,2022-12-02,1002,26.7,35.5,,15.7,7.0,,,,,,4.3,3.7,
11,GPO,Star TV,2022-11-28,1200,29.4,37.1,,12.6,6.5,,,,,,3.9,2.5,
12,Marc,ANT1,2022-11-27,1030,27.6,36.8,,13.0,6.4,,,,,,4.7,3.5,
13,Prorata,Η Εφημερίδα των Συντακτών,2022-11-22,1905,29.9,35.9,,12.6,5.4,,,,,,4.8,3.0,
14,Pulse RC,ΣΚΑΪ,2022-11-22,1205,29.1,36.6,,12.6,5.7,,,,,,4.0,3.4,
15,Metron Analysis,Mega TV,2022-11-22,1000,26.4,36.5,,14.3,6.1,,,,,,4.3,4.5,
16,Interview,Politic.gr,2022-11-21,1605,28.0,35.7,,11.3,6.7,,,,,,5.3,3.9,
17,Alco,Alpha TV,2022-11-18,1000,26.8,35.3,,13.3,6.1,,,,,,5.7,3.2,
18,GPO,Παραπολιτικά,2022-11-10,1000,29.9,36.6,,12.2,6.8,,,,,,4.2,2.7,
19,MRB,Open TV,2022-11-02,1000,28.0,35.5,,14.0,6.1,,,,,,5.5,3.7,
20,Pulse RC,ΣΚΑΪ,2022-10-25,1207,29.1,37.2,1.1,12.6,5.7,,,,,,4.0,2.9,
21,Marc,ANT1,2022-10-22,1050,27.3,37.4,,12.9,6.0,,,,,,5.1,3.6,
22,Interview,Politic.gr,2022-10-19,1575,27.6,35.6,,12.0,7.1,,,,,,5.5,3.3,
23,GPO,Powergame.gr,2022-10-15,1200,29.4,37.6,,11.8,6.3,,,,,,4.4,3.0,
24,Alco,Alpha TV,2022-10-14,1002,26.1,35.6,,13.0,6.4,,,,,,5.8,3.6,
25,MRB,Newsbomb,2022-10-12,1000,27.4,35.6,,13.5,5.9,,,,,,5.2,3.7,
26,Interview,Politic.gr,2022-09-27,1455,26.2,35.3,,11.6,6.7,,,,,,5.6,3.9,
27,Metron Analysis,Mega TV,2022-09-26,1300,25.4,35.8,,15.0,6.3,,,,,,5.9,4.2,
28,Marc,ANT1,2022-09-24,1166,27.6,37.6,,13.1,6.2,,,,,,4.7,3.2,
29,Palmos Analysis,The Caller,2022-09-23,1027,25.4,36.5,,14.1,7.0,,,,,,4.8,5.0,
30,Alco,Alpha TV,2022-09-23,1001,26.7,35.9,,13.6,6.3,,,,,,5.0,3.7,
31,MRB,Open TV,2022-09-21,1000,27.2,35.7,,13.4,6.1,,,,,,5.0,4.2,
32,Pulse RC,ΣΚΑΪ,2022-09-20,1012,29.4,37.9,,13.0,5.1,,,,,,4.0,3.4,
33,Pulse RC,ΣΚΑΪ,2022-09-15,1105,28.8,37.9,,12.4,5.6,,,,,,4.5,2.8,
34,GPO,Παραπολιτικά,2022-09-14,1000,28.3,37.2,,13.0,6.4,,,,,,4.6,2.4,
35,Opinion Poll,Mononews,2022-09-14,1004,27.5,38.3,,14.1,5.8,,,,,,5.7,2.7,
36,Pulse RC,ΣΚΑΪ,2022-09-09,1006,28.7,36.8,1.1,13.2,5.7,,,,,,4.0,2.9,
37,Prorata,Η Εφημερίδα των Συντακτών,2022-09-05,1010,29.8,35.7,,13.1,6.0,,,,,,4.2,3.0,
38,MRB,Newsbomb,2022-09-05,1000,26.7,34.5,,14.6,6.1,,,,,,5.4,4.9,
39,Metron Analysis,Mega TV,2022-08-31,1003,24.9,34.0,,15.7,7.5,,,,,,4.2,4.9,
40,Interview,Politic.gr,2022-08-29,1569,26.7,35.8,,12.8,5.7,,,,,,6.0,3.9,
41,Marc,Πρώτο ΘΕΜΑ,2022-08-25,1001,26.7,36.4,,14.0,6.1,,,,,,5.7,3.4,
42,GPO,Τα Νέα,2022-08-24,1000,28.7,35.8,,13.8,6.5,,,,,,5.5,2.4,
43,Prorata,Η Εφημερίδα των Συντακτών,2022-07-24,1300,29.3,35.6,,13.2,6.3,,,,,,4.0,2.9,
44,Marc,Πρώτο ΘΕΜΑ,2022-07-20,1009,26.6,37.2,,13.6,6.4,,,,,,5.5,3.2,
45,Opinion Poll,tomanifesto.gr,2022-07-15,1015,26.6,36.9,,13.8,5.9,,,,,1.3,5.6,2.9,
46,Pulse RC,ΣΚΑΪ,2022-07-13,1351,28.4,36.9,,14.2,6.3,,,,,,4.0,2.8,
47,Interview,Politic.gr,2022-07-06,1305,26.8,36.0,,13.6,5.5,,,,,,5.6,3.4,
48,Alco,Open TV,2022-07-04,1400,25.3,35.2,,14.4,6.0,,,,,,5.9,3.5,
49,GPO,Powergame.gr,2022-07-01,1200,27.6,37.8,,12.7,6.6,,,,,,5.3,2.6,
50,MRB,,2022-06-30,2000,25.7,34.1,,14.2,5.5,,,,,,5.2,3.6,
51,Marc,ANT1,2022-06-25,1059,25.7,37.1,,14.6,6.2,,,,,,5.3,3.3,
52,Pulse RC,ΣΚΑΪ,2022-06-08,1206,27.3,36.4,,15.3,5.7,,,,,,4.5,2.8,
53,Κάπα Research,,2022-06-01,1004,28.1,37.6,,14.1,7.2,,,,,,4.7,3.3,
54,Prorata,Η Εφημερίδα των Συντακτών,2022-06-01,1070,29.1,36.0,,14.5,5.8,,,,,,4.1,2.3,
55,Interview,Politic.gr,2022-05-31,1485,24.5,35.3,,14.5,6.4,,,,,,5.9,3.3,
56,Alco,Open TV,2022-05-28,1000,25.8,35.5,,14.5,6.1,,,,,,5.2,4.1,
